,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_131,2.17070137,0.12280447,0.12280447,0.93053321,0.77492934,0.76975079,0.88255183,0.7842326,1.37218908,1.01555707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_130,2.0529796,0.12280447,0.12280447,0.97764025,0.75104233,0.70383324,0.85400679,0.83257056,1.24580805,0.91614654,0.05686857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_129,11.93332392,4.02192925,5.14624508,7.8430213,7.81368304,7.47798065,6.53111169,8.82013948,8.51559751,6.98363133,3.50044812,4.12103914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_128,4.67915109,3.61130947,3.61130947,2.88346577,2.98190744,3.11851144,3.68805358,2.88346577,2.96730903,4.96812928,4.81171462,5.19943606,5.22128197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_127,55.19780936,7.912146,7.912146,47.80012051,45.96567849,8.37490717,8.99873294,47.80012051,46.49192537,2.76382749,2.77059555,2.99209383,7.36483124,47.91839415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_126,4.24308648,3.20157851,3.20157851,3.85880493,2.77948248,3.23408736,2.85620574,3.43055185,3.97201539,3.38396757,3.58349933,3.14033242,38.5378014,9.75935865,4.20326398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_125,6.82851329,5.12390466,5.5800831,7.82083277,5.18474742,5.03665251,5.20323795,5.55680339,3.63727657,4.60564786,4.10771115,4.25335298,52.85708048,5.47538177,6.79261777,6.3204255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_124,2.33579731,2.33113953,2.01007681,2.38240996,1.97648345,2.24095852,2.13786356,2.32601435,2.72661369,2.61363299,4.55812492,3.97648373,10.420328,3.91734508,49.07817642,8.36220918,5.54406761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_123,2.94504327,3.39175197,2.36094959,3.39476701,3.24136613,3.01715276,3.27944396,3.39476701,2.36395929,4.06113942,6.24237088,6.69232998,21.15542496,3.84014528,49.96529808,20.88382505,3.15040569,0.37362291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_122,46.96987453,3.29323876,2.66014977,3.71494835,4.02319148,3.78699941,3.94643059,4.22096638,3.03543277,4.13499089,5.22201624,5.54849763,44.77857538,3.77270965,6.37278327,49.9835202,3.88157356,1.30968763,0.94343247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_121,2.3991651,2.56062695,1.98091318,3.0309141,2.46956159,2.87129035,2.60481801,3.0309141,2.77965923,3.46756512,6.77908385,5.2228034,45.03955081,45.8439488,54.82996976,8.03428529,7.00409794,0.53319244,0.38637766,1.55544507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_120,31.3952309,3.91586192,4.40003718,3.73948683,4.07515361,3.73495266,4.03655909,4.25823124,3.54606666,3.35337441,3.33354506,2.83461755,7.691898,46.29475366,6.83373548,36.96736685,51.06739172,3.35449847,4.08246941,6.32392796,3.63116571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_119,10.06355854,3.0830069,3.0830069,3.91396602,3.07095377,3.07095377,3.07095377,3.07095377,2.77137123,3.45678369,2.65232239,2.65232239,5.46377304,8.08893612,51.73223024,4.44301876,5.09096512,2.39413673,2.63120392,86.1027939,2.91406038,2.42147904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_118,4.62471789,3.97160401,4.8175107,11.84885984,9.35080718,7.79982481,9.60751222,14.41807818,3.85793487,5.05928349,3.66734154,3.96778317,50.44921984,2.92306912,3.83738646,46.31615069,5.97013231,22.26606408,2.92159146,4.26210197,3.4936959,46.36027531,3.83296345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_117,3.80380802,1.9989912,2.21786216,2.21962048,2.51273435,2.39932458,2.4943435,2.5799059,1.4191534,2.69114051,3.05555088,3.33593508,9.97189627,3.61332134,6.63828956,3.86762675,54.71805855,3.44781227,2.50176459,2.6826518,3.40222494,7.73341052,3.19174403,2.9995508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_116,3.61751947,5.67735917,7.71588394,10.40129129,9.63705006,8.67717604,8.92270293,12.81831012,4.09259344,6.6978791,3.85876349,4.20359411,49.94307513,2.70306632,3.6355278,44.89775922,50.8168385,16.97633883,3.07813689,5.94188713,3.43060253,46.69139654,5.12555374,0.26047704,3.49914865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_115,7.26386992,4.00112488,3.02024733,20.96886062,28.53965394,25.49501847,23.77792074,40.98136461,24.1314475,5.76357699,6.2592194,27.22861383,28.75248049,8.44524885,4.86096303,53.1024181,50.97226413,4.29693331,4.28060415,5.29572057,6.49907469,44.99129813,55.89128123,50.12901203,50.39000212,49.68625798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_114,1.86581196,1.23204454,1.23204454,2.9417254,2.2950577,2.07753366,2.59164062,2.50262139,2.79015745,2.47097364,2.00742193,1.73565755,42.77055379,9.28436212,48.10351827,3.11427827,7.55326488,7.35665431,5.26903966,1.99455264,2.2784556,6.51924589,6.09391319,6.53181065,5.03185922,7.33522064,40.98426208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_113,4.94157658,4.83318511,6.6233496,4.14076502,3.84390736,3.22496415,4.70499002,4.14076502,2.22625531,3.21514499,4.88332562,3.4711267,51.80068832,3.02027543,55.12240665,5.72475032,3.59602802,3.83839642,3.79031196,3.08842253,5.72384307,1.96575026,2.9116069,3.62602167,5.48447764,4.14337531,48.9480654,55.9767603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_112,1.63280334,1.97987706,1.97987706,3.41393054,3.02690061,2.93028155,2.89308001,3.20833319,3.54569151,2.17875453,2.24556012,2.29419526,9.54941405,4.68679231,53.05013173,4.91543808,3.65999476,2.54076047,4.5774429,5.67279972,7.30788491,2.8786628,4.00746549,6.36293441,4.80807386,8.51289224,50.2487463,10.11022539,3.32122946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_111,6.00467544,8.56034346,9.0465745,46.53280368,4.986013,5.01707543,6.34094043,5.58857073,4.47214004,10.406314,6.63839659,6.9711265,21.96905187,41.92577507,5.0612791,6.89097194,6.94488107,51.72607242,50.84817007,50.42811559,52.34423346,7.60227686,7.02118829,51.90818062,54.11486592,51.06148341,51.81450548,6.83744829,10.49047344,19.53625686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_110,7.39600939,9.30184374,9.72856209,47.36987125,5.3827174,5.38694091,6.78101398,6.05968996,4.76986994,11.04008073,7.01828457,7.36115174,22.40451823,41.92577507,5.0612791,6.89097194,7.10281612,52.02935319,50.84817007,50.79679745,52.34423346,7.60227686,7.04859703,52.1166531,54.31156477,51.29326202,52.01742352,7.11774889,10.49047344,19.91791508,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_109,6.21985509,8.52890724,8.98515769,46.23002229,5.15073725,5.16990115,6.43588932,5.73640877,4.63017337,10.27322384,6.70656393,7.02454036,21.46082652,41.92577507,5.0612791,6.89097194,6.95958067,51.66642645,50.84817007,50.34663188,52.34423346,7.60227686,6.47500806,51.87546735,54.08966853,51.01818813,51.77560861,6.88138406,10.49047344,19.34173572,0.04401884,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_108,47.37833328,3.98587522,5.01990683,2.42455812,2.42455812,2.42455812,2.42455812,2.42455812,4.27046937,2.79713934,2.42455812,2.42455812,4.9318405,6.00458118,1.09026954,3.26858987,8.96011368,14.72207849,11.70839168,8.54135218,11.24830447,7.61688785,3.3144366,46.69806857,46.72878733,46.0201717,50.50423807,2.82083646,50.40488344,49.90139036,5.34566849,5.4309654,4.73445955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_107,48.21525215,3.64542722,7.0304499,3.09319202,4.19523645,2.74519132,3.72181217,4.87464374,3.68563868,1.84202998,23.26532435,9.03507951,4.53861609,17.24770155,13.85158966,3.61395325,10.37996226,15.67259655,7.2596635,23.64653234,5.2450247,5.70080417,3.69333445,3.56132258,4.04687371,7.46196159,3.66249406,47.00587424,54.6259864,49.44944403,53.35139393,53.35139393,53.35139393,50.09113964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_106,52.73024032,52.45733899,51.60402001,53.06422723,52.97538713,53.00929343,52.3040274,53.06422723,50.45662434,53.16328416,51.13753742,51.24573348,6.9491438,54.05866729,8.3898476,15.32014827,47.23752986,51.10287884,54.58674802,51.26387748,53.04831447,9.82717715,2.97980267,53.60591218,53.1519383,53.20535146,52.98701548,6.61143524,55.70214903,50.49154229,5.42433714,5.42433714,5.42433714,1.99741082,56.41574425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_105,6.24520988,10.86402369,11.09621183,45.32860449,14.31691389,13.98507625,14.10872163,15.74205716,12.21578334,9.72544675,13.92271933,14.48409964,5.6832662,45.36517504,8.75032157,8.20445623,30.13700624,51.58630851,39.7702625,48.67699954,45.71933171,10.64914584,20.02805707,49.88364999,47.43933253,49.85695923,50.31467637,17.82838066,49.32950437,3.22559903,7.30779424,7.34629255,7.22281582,3.2557127,50.51522503,3.55806417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_104,2.06382281,1.65771603,2.03965402,2.59091994,2.59091994,2.85014296,2.54527705,2.94724382,2.58759389,3.01349808,1.5584949,1.49958646,6.19954295,3.55181283,45.24768892,5.85204773,?,1.79936856,3.36999574,4.23980323,2.7224476,3.35347323,2.24577583,5.65963415,2.52190722,4.93919801,5.25493185,3.80358607,3.86802971,3.14489215,49.40688416,49.81201488,49.304178,36.55428317,5.59358205,52.61269417,42.59230733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_103,2.36152977,1.65771603,2.03965402,2.55520706,2.55520706,2.8143394,2.50995391,2.91062976,2.63556432,2.91661377,1.54858821,1.4906527,6.15733846,2.8414289,45.20222572,5.87576643,52.69094545,2.00508961,3.93075411,4.92153121,3.13532288,3.21124176,2.24577583,5.36267543,2.56682806,4.72043673,4.72519743,4.31105293,3.64456704,3.09493743,49.30137813,49.71326201,49.19572297,36.55428317,5.34635936,52.61200582,42.26934771,0.04360804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_102,2.43149797,1.65771603,2.03965402,2.23395899,2.4961481,2.13411094,2.45390635,2.53939424,1.89628018,2.21304583,1.70147006,1.56915633,6.39577371,4.00324766,44.89056432,6.65551811,4.01626228,1.86735212,2.96705029,3.6432643,2.94200751,2.83469421,1.95887006,6.11555185,2.52156067,5.19252835,5.39620216,3.78364935,3.05416189,2.78614324,49.41150825,49.81475039,49.30919985,36.55428317,5.12852649,52.62422931,42.81821963,0.08870106,0.13523686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_101,1.94624025,1.50886033,1.85187613,3.07181033,2.37278752,2.60099101,2.3345752,2.68039988,2.36017553,2.70724058,1.45288337,1.40094268,6.49191937,3.68716718,45.25067206,5.32567989,3.94900685,1.7627958,3.35090226,4.97253958,2.58196805,3.73956685,1.90001888,6.8722747,2.79470302,4.43045403,8.13461564,3.44543821,3.76719306,2.95082565,8.25999176,8.74458857,8.2539093,17.47398805,8.19678025,52.59764105,16.99982351,0.15421983,0.20767275,0.26294719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_100,2.22564889,1.21490056,1.52286169,3.21496931,2.48007063,2.71769553,2.42829313,2.80272874,2.6391436,2.7897111,1.49651442,1.4396068,7.52028417,4.15873259,44.32619813,4.0656232,4.62966692,1.79562172,3.4121566,3.89763201,2.69873778,4.00874465,2.22399381,6.10286265,2.40915511,4.69094277,9.64876042,3.37551261,3.29236146,2.69392987,8.85949406,9.35283746,8.82333505,33.99561974,6.00908521,52.48519707,18.10150238,0.27724042,0.33725955,0.39966656,0.20435358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_99,2.39406799,1.45147863,1.7878984,3.21496931,2.48007063,2.71769553,2.42829313,2.80272874,2.6391436,2.7897111,1.49651442,1.4396068,7.90951426,4.15873259,44.86204745,4.18193554,4.79615742,1.98235966,3.63282425,4.11419177,2.92403916,4.2160759,2.22399381,6.69905724,2.63019918,4.92395576,10.77513512,3.15654764,3.39124079,2.89588073,9.04703679,9.53183328,9.00257466,14.54893543,6.56975945,52.04090503,18.65626257,0.22022301,0.27846991,0.33889644,0.15119745,0.04738272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_98,2.25993254,1.42539794,1.75896943,2.95666033,2.2817562,2.50491961,2.24554186,2.58043468,2.18029347,2.64195144,1.24725944,1.20467415,6.48766992,4.24387738,45.24768892,5.42888277,4.215817,1.98477969,3.45955462,5.11559435,2.53117516,3.73886726,1.75510646,6.53450226,2.8560405,4.52478159,6.42796913,3.23119598,4.03933607,3.26226063,9.86502367,10.49945956,9.7632345,14.54893543,8.82989102,52.61269417,16.96310824,0.20825414,0.2633758,0.32052765,0.14326114,0.20591105,0.15247646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_97,2.57791641,1.32928027,1.14249686,3.21164493,2.48150759,2.24088551,2.34971149,2.71263688,2.06425464,2.69587322,1.11569035,0.98404929,6.46671483,14.80401003,41.80121833,8.51706857,5.41873788,4.02076334,3.23884606,3.83442397,3.96537227,4.68928992,5.87562123,6.2634423,8.20264909,6.71353526,5.25079856,2.90198555,3.28926982,3.57101026,9.32110086,9.81358148,9.26276748,35.43620404,6.23719254,53.87983002,9.65686115,1.57306804,1.51652086,1.63919017,1.2698046,1.4733144,1.65795473,1.49423538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_96,2.94424766,1.0775433,0.9176414,2.95234803,2.56222609,2.46824356,2.35186778,2.53132479,2.17645263,2.34571684,1.18618851,1.25494336,7.7514046,10.15446077,44.38386583,8.42796394,5.83021119,3.9728441,3.81176435,3.24296616,4.87235686,6.80936833,2.59231578,6.8610278,4.44972746,8.03649099,5.01732153,3.1060818,5.19717544,3.61605331,9.89005292,10.55917165,9.78259141,37.21163335,10.03286186,54.44984388,13.40197823,1.83543649,1.77651104,1.95964368,1.71805995,1.51824731,1.70708218,1.74153993,0.37247862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
