,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_188,49.33896802,53.38962195,50.25389532,49.42106556,7.3702251,7.03089111,48.3623936,49.80161458,46.98183499,0.64741066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_187,5.36850639,3.69644938,9.11466965,36.34170445,50.07385463,51.08182966,6.71223943,3.56940105,3.942703,47.44825626,49.32909144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_186,2.71341833,7.93848726,4.13873247,4.36491174,50.93759373,49.38495527,9.49525211,41.19718876,3.36915904,49.73588672,49.31125507,27.89326886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_185,48.51255235,2.27677439,48.28322464,48.24791818,10.38764018,9.08899517,49.51209451,2.44370896,3.42922785,20.46269465,50.19717058,3.66498111,48.33711665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_184,41.91881188,8.19975333,48.88819292,49.30258456,5.82421701,6.10618063,48.46562291,6.18161494,47.08416975,6.8836801,6.41709378,49.00256349,49.85484478,8.05804332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_183,5.19906417,56.05918751,3.71944706,39.98592703,11.89505656,7.96732632,3.03786275,9.37482068,7.02665502,5.65159339,5.25882158,6.78594313,47.67769329,49.94751264,42.45830582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_182,2.07529266,44.43272096,47.899912,3.95627065,51.69028521,50.4756973,16.03165018,44.31805994,3.49425701,49.6855624,49.39197591,5.82410806,2.50820172,36.94889366,47.81194457,37.36139076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_181,1.54021198,53.31912696,10.35289129,7.35419889,51.24582404,49.8341858,3.74823473,23.40431766,1.23655162,50.58129971,49.62059994,32.3368117,2.07883464,47.44664859,44.26079296,45.26068981,2.97862232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_180,1.04279496,46.514458,48.76593766,2.2451177,51.22990064,51.22990064,10.23105879,45.99749876,5.49954711,49.80100709,49.80100709,17.95783755,2.53755725,47.46156101,44.9926524,3.46798578,1.84249511,0.41650249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_179,26.16635925,50.83967048,16.74895005,2.21358504,52.28814806,52.28814806,1.66537031,50.93937446,3.66957127,47.3085603,47.3085603,3.5602361,22.08999953,49.48041389,50.08720479,3.40262286,3.6895583,39.61723526,4.93441799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_178,48.0605445,5.31634329,51.60662004,45.24967065,3.11006205,2.89371608,49.29838391,3.8290757,1.27389462,48.47465306,48.87743081,49.65001121,4.23396352,5.33962743,3.65234332,49.80166701,3.97778331,2.80108262,4.59407108,4.00058147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_177,50.43203093,53.15506396,51.76765021,45.67429865,12.82981951,11.04228588,48.41903326,51.20298397,1.76884938,21.85019847,27.04784273,8.03999045,50.46132131,52.53365608,48.22223047,45.6507399,47.41234553,51.44135328,51.59785865,5.52343231,46.93267135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_176,4.26500434,2.59175085,4.10572379,27.28975089,7.12374932,4.07894161,5.12697568,1.92655656,7.10207787,49.89804718,47.91091655,2.84162336,7.49666233,3.22593447,16.50005943,5.85057055,5.95992268,7.99386038,48.80102672,3.24521722,8.43734641,46.6102413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_175,17.78947932,44.19870311,2.00063253,3.70787578,46.11770939,46.78600119,5.68396376,47.76610362,1.74950096,47.1488145,49.41482805,2.54915074,20.97833496,51.42843641,50.31108535,8.04331625,20.40735298,27.07909209,29.49814251,2.6975889,3.260006,3.26472523,42.61788744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_174,3.70142448,54.75260777,13.00690742,5.47056542,4.20396652,6.45909601,3.53528113,41.44525128,27.29718422,50.9206011,48.99604402,5.80049645,10.24389687,53.09511736,42.77843052,10.66880933,5.88390282,14.36023479,8.8640075,5.62450455,5.27582725,48.92728626,4.7439844,3.62773538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_173,6.44889683,30.51969232,5.90207428,7.23198332,49.78528955,50.94295513,5.81284925,6.00066578,2.75110404,47.03918957,49.19337154,1.28127486,22.11436957,48.88792214,48.75411422,5.13043742,2.48899613,23.9002292,1.78901175,3.50107993,4.25584956,5.7496559,4.4027481,1.77342715,3.60478257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_172,9.22691595,35.31783042,5.11886436,5.71458695,44.2467288,47.73258456,3.76554809,6.90704978,4.87251889,48.04497018,50.01554936,2.1164541,32.63677838,50.26081147,49.425775,6.33005997,15.26226824,30.28611308,4.7399527,5.52062515,15.00536888,6.2376336,6.71063199,1.74137022,2.35763641,1.05940464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_171,14.83799946,41.62066792,6.11650578,5.45668522,50.0440779,49.81293818,5.0465823,7.85820651,4.47060349,49.33501936,50.08535682,2.61291265,22.87637102,50.1527491,48.54283318,9.63647456,18.3694958,25.76996459,7.1952829,6.72111628,42.64415047,6.097305,8.72057556,1.34693523,3.8176964,1.65397547,0.42489443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_170,6.63246289,7.58258852,50.63103285,37.43815847,48.37280174,50.60084028,4.67316087,46.92199818,9.98891053,51.33455335,51.33648379,1.68091498,24.86435942,47.88278391,48.84756419,6.98626939,5.38579345,27.75820134,5.8634733,22.52281557,5.68171203,11.75588106,5.68326926,5.17498805,3.51853817,1.74043036,2.98088071,3.49462166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_169,3.59339103,49.72650197,6.04728042,6.26193798,46.77424874,48.77373188,5.42124984,5.92189104,3.5707688,48.66562595,49.17292381,1.83386675,5.72302202,46.9642978,47.21974426,5.54322219,1.32323183,4.3607662,1.94522104,4.58384611,3.38600709,44.3114827,4.64058578,2.19862807,3.72119441,0.76509868,1.4478044,2.08789596,2.74626558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_168,3.48286948,29.39423961,13.79135842,31.53420967,50.04275117,51.14107849,7.24704974,6.67644078,2.84166012,47.94785143,49.69443953,0.67616422,21.51115329,51.44535025,48.83919676,6.30923726,3.27152263,4.4896251,2.21464769,2.28843405,3.3172581,6.22186109,5.55416915,2.25800642,3.87127707,0.63427508,1.21023565,2.10703876,2.20892517,1.06498785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_167,2.84199819,75.41448141,43.36222359,35.43960491,49.57675177,50.88959026,6.10175907,5.60179833,2.95487691,48.10408789,49.69393353,0.59757254,26.19948317,5.24924527,48.92506743,5.94554302,1.86049693,27.78305819,1.76201841,3.74643923,2.99522347,8.09599713,8.3084257,2.02352913,3.12619218,0.66383346,1.65734285,2.51205108,2.02931598,1.07466296,0.29329794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_166,3.53528156,50.57758804,5.84475488,6.01198853,48.18995977,49.69902769,5.71112778,6.26513304,3.33044918,48.31912854,48.87311268,1.62321543,4.86207212,48.48916434,48.35916552,5.19964259,1.04622352,3.92701462,1.50408079,4.36427158,3.71839295,43.2196412,4.60935916,2.05206748,3.91323929,0.62665194,1.52551543,2.19194608,2.38435906,0.0952408,0.93581873,0.95085111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_165,1.98862322,5.47645122,4.11501443,38.90524322,44.62204859,48.78878288,5.44430086,41.88176449,46.13368699,50.37276222,50.38647276,1.99383161,17.05026546,44.99545229,47.6616326,49.7271869,3.05222971,31.51204181,56.42326828,5.32670532,49.22264993,17.80044522,1.94742427,5.31836609,4.5533108,2.036496,2.64399146,3.58142601,5.47122885,1.25478776,2.08545706,2.71801672,1.56382572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_164,8.54742695,14.6877964,8.59593477,41.19109295,8.2703824,46.52394904,7.49650022,42.91835152,2.91854646,47.53644598,48.94182758,1.75202737,42.97351434,50.95128095,25.44202478,10.20510648,3.84746581,41.71492368,4.24824687,3.0916146,48.85345755,47.65494426,7.11390903,1.55553165,3.51484996,1.42604026,1.83997608,1.86310407,3.03080327,1.79275923,1.10985466,1.20466121,1.58860613,4.84636652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_163,2.76139716,3.54316153,43.86310186,5.73437664,1.99342088,1.11449226,1.82419631,45.61877152,2.45740047,48.39952143,48.45717299,3.38703453,21.75881306,46.64823538,50.75700733,2.07438288,1.95746169,27.62387989,5.1901798,1.29933455,2.37179886,13.76550351,2.40145346,0.78864568,3.5940088,2.20818913,3.78258358,5.13943257,4.57341784,2.36585132,3.02915102,1.7981843,2.38311527,7.30570203,2.7611162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_162,45.97415157,47.01403874,5.06608288,7.25972515,51.265631,51.34757027,6.22687051,50.37069039,4.40339785,35.31145296,45.95073459,1.91627826,45.06818076,54.9737726,51.24795068,7.26245294,10.39576841,46.56777702,49.93068108,2.94128262,50.97134373,5.47402525,5.73399111,1.36617378,3.3497082,1.79396951,2.0857702,2.64903118,6.44164186,1.40176861,1.6212522,1.88416812,1.3226373,3.66250041,3.46390525,3.47946297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
