,Sequence_231,Sequence_230,Sequence_229,Sequence_228,Sequence_227,Sequence_226,Sequence_225,Sequence_224,Sequence_223,Sequence_222,Sequence_221,Sequence_220,Sequence_219,Sequence_218,Sequence_217,Sequence_216,Sequence_215,Sequence_214,Sequence_213,Sequence_212,Sequence_211,Sequence_210,Sequence_209,Sequence_208,Sequence_207,Sequence_206,Sequence_205,Sequence_204,Sequence_203,Sequence_202,Sequence_201,Sequence_200,Sequence_199,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_221,52.39359919,6.04689338,54.99556279,54.75664301,5.10048136,48.93904789,5.60452226,6.44874672,53.39385679,56.33238294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_220,46.51035857,49.68531999,4.53238362,9.33328527,48.18687508,4.51669654,53.54404538,49.13722632,48.71565317,6.91680787,9.90946568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_219,44.34510285,3.01978903,50.4262795,17.94898442,2.74532603,6.50016057,52.2422971,3.99575792,50.16449994,48.4735685,6.20508518,39.70640905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_218,2.90090236,49.72557296,7.02517482,8.54835499,46.85260825,6.03163463,5.94968518,48.84150703,5.96069077,1.73865649,48.44317546,6.00889535,49.72674149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_217,34.00770905,43.00158981,6.72629838,5.51364708,7.56660517,45.88973318,50.81767693,8.48230197,48.3463582,8.81205444,45.87636545,3.16652615,28.48761432,5.83235084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_216,6.20044046,2.65655535,43.18834847,51.73831014,2.41875665,43.69808936,51.52262498,1.79727504,3.87355596,52.48561007,50.8906767,49.15155018,2.89311597,45.98545542,5.76395173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_215,8.38164241,5.50642077,3.63188834,49.8434476,2.60036264,44.28811756,53.22579789,3.61434089,7.08310077,52.00592251,51.22638473,47.31741847,7.57741385,50.46186033,5.72461436,2.11592237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_214,44.90080875,46.20881721,3.57279248,51.9498111,6.93867945,3.34376402,5.56645876,45.34086546,6.2413416,5.328374,56.00390134,4.47829179,9.50658061,2.61573417,4.29322288,4.2550205,3.86098781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_213,46.66191578,3.76456389,48.84958751,52.21987364,3.36838844,4.86606536,53.17435237,3.78695941,48.67040481,49.50379362,9.42390418,49.2942248,2.35946665,50.34911256,47.68511174,5.35579066,4.72587152,45.35908599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_212,12.90710275,4.58844034,38.52439274,48.24134766,2.65470051,15.12175564,54.16909353,32.30769338,43.2435396,47.7747557,48.76568505,44.66580534,46.61592109,22.59007497,4.47454101,2.60665529,4.11470396,4.03747477,10.28627844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_211,7.66875495,7.17095774,47.05466073,49.49186698,3.84581247,40.24898074,41.83998943,4.2396803,3.21015158,51.70743774,52.39073439,46.77825358,3.15316863,47.65459076,42.83736182,2.65737351,3.01774221,45.82296959,45.1184144,3.52823869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_210,4.97613601,3.48206502,5.67331419,52.76342473,6.57307024,2.19436925,4.76754769,2.62082211,45.89282556,54.15330294,53.50085269,7.20788252,2.21924286,48.24181058,5.0823229,2.58859841,2.22700626,3.37002204,2.41372503,41.88470299,3.31395007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_209,2.54476393,4.60699844,53.47001958,57.40912574,9.28397452,55.12486744,54.06032972,17.24157897,49.1718914,54.47422246,57.13520726,54.32463085,6.33811547,4.89621874,48.14779545,13.12630878,6.03023647,48.96132521,41.98018094,52.61739588,53.40066171,4.90783329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_208,6.33150561,6.2396488,3.27397036,5.33053828,4.73902343,55.31824438,51.99744218,46.05853643,4.77376396,9.53591877,50.46379913,2.91835163,48.21733017,5.33673448,3.87505635,3.26669298,4.64073684,49.43493393,49.37312182,41.33887078,7.373862,47.99268052,17.33859171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_207,9.51306891,5.35445392,46.21384277,50.70749657,3.50667763,45.09921973,2.33055576,5.48540435,23.67562784,51.27220209,52.44506949,49.06893917,7.65597422,12.70220765,36.6776267,2.38319535,2.59484617,3.15009835,4.26469677,2.77441259,2.21471271,4.52170426,50.42610951,46.27115171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_206,41.88487032,45.37109458,2.56163065,7.08408868,49.01679494,6.29493668,6.92877871,44.82780318,5.86142709,4.52475212,48.98546035,4.39933895,48.44051347,4.74802459,5.55061687,42.46984387,42.11456863,3.53025678,46.34434918,35.23319782,41.7584364,5.78998157,53.47002497,3.26900633,46.75773478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_205,53.45153385,55.7452501,54.00531999,55.5033825,2.05703957,56.17316544,58.40971437,54.62359664,7.499608,7.00889835,57.00770002,22.57918203,2.11265778,15.57221901,48.26485814,4.30518362,50.22496147,53.72067157,4.66370265,5.7580064,55.38056712,4.68087929,7.52223776,52.35216123,5.30626104,50.28871841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_204,48.82036446,47.67697792,51.28820314,13.30645554,49.75790526,50.32000025,6.90599635,5.97329164,5.0363033,9.6150266,6.08363788,50.30578141,43.49847728,10.80508339,7.05291899,47.40184079,48.41719114,4.42177835,50.23945258,48.0217829,47.42907025,49.29630006,53.76746783,51.22720251,3.60333173,6.36813442,49.06747696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_203,51.97633405,49.58635971,6.77920459,4.73456924,47.98392801,49.61421116,23.25343325,27.69639063,45.56709835,6.08287233,50.92782591,3.42236509,3.90623873,5.75958198,2.75909461,50.83129943,4.02938209,54.53999823,51.21626734,45.88548184,11.07488415,54.01066618,54.45700096,2.89904491,49.76256524,7.26995214,17.88084011,22.1859944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_202,7.76646986,4.00982021,48.67424384,53.83304675,3.52626572,4.7247785,53.07414757,3.84032056,41.84269793,53.33281199,45.85941739,47.00405178,3.47759878,50.77558643,8.60548023,2.32348769,4.3490632,44.23248978,6.40171684,22.62413998,5.49876806,3.29478894,3.180984,4.09115618,3.59878892,48.13670081,15.0094123,47.62587088,49.37635426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_201,5.15184274,1.9824217,46.44065065,7.61266345,9.06798943,48.34097057,51.34999045,5.62511552,46.36418799,53.65215511,13.4401294,49.9483597,2.53899052,49.63464542,7.42993306,5.0533587,38.92423351,48.01975881,7.29452495,7.68015326,12.46254658,4.38383459,48.73461622,48.48296863,5.61655154,49.10858018,6.06915581,3.53531936,49.68795577,3.11492173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_200,44.66296814,8.11741612,7.94252774,7.98027146,50.40956832,2.91790967,53.09019731,8.34991049,50.08705555,11.05976888,54.82282308,8.91352423,8.83257557,8.95684805,49.53278531,47.27182978,10.00596822,5.22550805,47.89986101,44.57005731,8.02869934,2.26734094,53.83055697,51.10680295,48.27612063,6.79181063,54.19015004,6.18308033,53.4256293,49.63146034,6.279556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_199,2.34124459,5.21885736,6.98265312,3.76135742,13.60694658,46.28633231,72.07922922,8.92744018,18.63550679,8.31871953,52.35836382,8.3362174,6.38680198,1.74954433,3.4348075,7.73313935,16.62711077,6.63866451,48.2214136,13.04644828,5.52534685,3.12123343,3.22200146,6.32257441,2.95445968,4.04455408,52.59633415,48.47621536,6.42794072,3.84943326,2.33815338,46.54378266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
