,Sequence_231,Sequence_230,Sequence_229,Sequence_228,Sequence_227,Sequence_226,Sequence_225,Sequence_224,Sequence_223,Sequence_222,Sequence_221,Sequence_220,Sequence_219,Sequence_218,Sequence_217,Sequence_216,Sequence_215,Sequence_214,Sequence_213,Sequence_212,Sequence_211,Sequence_210,Sequence_209,Sequence_208,Sequence_207,Sequence_206,Sequence_205,Sequence_204,Sequence_203,Sequence_202,Sequence_201,Sequence_200,Sequence_199,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_221,57.02888836,6.09454531,5.06525928,43.59346974,36.18017201,6.57031949,13.9061211,5.79157558,56.63598714,6.49092429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_220,3.0176743,35.62460522,31.38474497,4.04008458,4.19072889,4.15386761,5.26635818,3.21375117,46.46372638,4.31544931,4.97765473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_219,25.38353175,55.21373917,53.92484509,54.69474775,3.14085667,54.7393342,5.90720013,17.58724168,3.04721248,48.42719903,52.95538344,22.45537298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_218,60.2453211,4.79771989,1.69347106,11.2655276,11.51238412,45.63552258,45.74042549,43.81961924,2.5462858,2.59668513,3.86499005,45.59381878,53.03710733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_217,4.43016216,57.00210804,56.74747283,52.80535122,25.60680499,56.27199987,21.06470735,53.78648082,4.0033079,48.9231894,56.42547582,37.04750591,53.70057057,53.59733835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_216,5.04491506,5.40952927,6.92542716,1.7863573,3.4764,7.24450026,2.53258214,9.82808145,47.64512343,3.58843831,43.97390774,3.50941184,7.26395755,48.43151227,35.6484476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_215,5.04491506,8.29852414,45.63964615,2.09513619,3.84992112,8.90236302,2.68829799,42.37266848,47.64512343,3.58843831,43.97390774,3.50941184,54.02775573,49.74664001,35.6484476,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_214,15.70497188,48.44418052,48.31603718,49.08601738,44.29009512,46.08712871,14.32717567,48.61601389,6.0364255,46.90506147,47.70840292,49.37865312,56.36536095,10.17785594,2.71658735,49.33284062,6.23233074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_213,7.16334708,51.0794329,51.25433801,2.77760543,4.80985957,7.35187118,51.17860278,4.50459183,48.89749404,46.65000153,49.17687068,2.22073348,3.73067652,42.54382959,50.18095695,53.41132009,53.41132009,3.39040097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_212,10.13336179,23.90256179,23.07896537,15.0138097,3.08174354,1.9082814,5.55150111,7.46118923,8.18880065,6.60521647,2.94915192,4.75177148,9.58721046,16.14197078,3.77294164,9.05136861,11.00576126,46.61299976,49.36116799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_211,54.1362983,46.26067168,46.6411414,50.6369013,46.34846037,47.47452493,48.834094,48.09886991,52.8251064,47.39816124,48.97953715,50.64656035,52.39310622,44.85482159,59.66991404,50.88239692,51.17753882,4.68562023,7.04868931,50.08069182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_210,9.20664609,40.92948205,32.83060232,50.68776739,43.5159314,3.77878703,17.12272948,1.53950707,6.02376352,4.40559411,3.87285302,9.37244222,6.09995247,47.99107391,3.76623315,48.68635437,49.66943464,50.96341895,8.65925124,44.95541956,49.15396322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_209,54.81160093,3.91760741,9.09951418,2.27181282,2.38617236,3.12036653,3.24772303,5.9525842,52.03070234,1.96408903,12.40823101,4.73324251,2.88024214,30.67647804,51.58537009,3.69468514,3.69468514,49.42907731,65.61275078,6.10826192,50.29507848,45.40687401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_208,58.05474451,4.69020096,1.91506987,5.68574293,3.02224105,2.27663204,2.68125355,3.68336453,55.8482306,4.20800673,8.84648198,20.71988493,4.1097404,7.16100089,56.9613503,1.97854426,3.15048679,49.81193445,6.44260915,5.35331254,49.63808688,8.16625924,1.95135448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_207,55.57262647,1.35587603,3.4907669,46.33684081,33.51503194,11.11957688,43.73225619,3.63173571,56.20061652,1.04403464,3.89602715,3.44886562,35.12589151,6.25087226,55.6249067,6.50948625,45.60402546,47.83431305,6.86855151,31.73085408,49.79908704,8.84670562,17.59594697,3.96459066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_206,4.03514158,46.06084426,45.87535272,9.78090194,5.86828066,41.77606518,10.21624598,4.61519961,7.59311514,6.86305575,3.20315538,3.40492916,4.60323127,15.89945081,8.50354101,46.09058765,48.31024197,49.74741643,3.51682772,4.45959143,49.15669584,5.29559744,15.08402091,46.61401458,3.82594548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_205,50.97332937,3.38599399,3.4378089,2.78986823,1.96771866,1.73530581,2.82246211,4.16646243,53.02507979,2.04000377,8.21805539,3.76918296,5.42816043,2.72338485,52.38920022,4.49686671,5.24787186,44.24272976,47.90286381,2.8436417,49.51739756,40.27761633,2.2828599,2.53750046,11.52366365,8.92610977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_204,2.80037454,56.52973905,56.15628045,5.13359485,46.19720257,55.13324987,47.88752781,11.71408291,6.82253098,51.81564387,55.98063715,5.71943914,10.19234874,55.21459141,6.50859747,17.29534712,17.29534712,28.59165001,4.84467971,15.16564303,55.24091988,5.8073596,2.7042152,55.87310221,55.52562803,11.95670825,55.19526613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_203,1.72827317,45.92439306,45.49400506,2.3282011,2.90215793,7.51336744,2.77710853,3.44846499,49.98472636,3.07053064,48.64642649,2.47522877,5.29493995,50.124555,45.94216261,3.27190101,3.61545557,45.97695822,4.14844572,43.37570696,48.41033548,46.96235762,4.36585423,5.21322169,4.77676802,11.27443669,47.38332354,3.10572619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_202,7.60045073,59.80067484,59.62369102,56.88535732,53.59931145,57.72493665,56.25791814,52.3565394,6.79048579,56.12509885,59.3325452,54.68219096,7.67496519,58.43086082,5.89930826,49.57770743,49.57770743,58.60464783,21.83782664,46.86752262,59.31723883,9.01490625,55.69893533,57.46405812,58.6458481,22.0943629,57.43531818,2.49208268,9.86758965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_201,6.21232768,48.25878626,48.25578309,3.65516944,11.87717893,47.59510212,51.52327266,8.75020111,56.70086737,45.58503336,39.86024541,6.77018916,11.27574944,12.88519198,57.89497206,14.19226336,44.86491127,48.93885062,4.26887658,51.81344481,45.70200272,6.82570043,49.71942666,49.086382,12.28595167,46.74216857,49.43878034,1.86520587,2.65331391,18.06220331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_200,7.53799773,58.06411427,56.98041471,6.39675474,53.27831898,56.84646402,54.93877927,45.46292685,5.14048563,51.78733301,57.04896385,39.98740809,7.78208371,55.64201703,4.12180358,5.05017636,6.65883696,53.87781721,13.96982407,13.69165621,54.78373076,6.17890595,55.68459013,57.43336418,52.95068468,10.34292919,56.40733001,4.41550718,31.60428581,2.2585108,11.25177094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_199,7.58454287,57.88163268,57.16168932,6.91718235,53.62710332,56.65274629,55.18117122,47.47056251,5.43118802,52.09100878,56.83319644,40.16666731,7.77096011,55.79351879,4.03144055,5.21089971,6.77955372,54.31079994,13.43299525,14.3253397,55.0711333,6.47657714,55.87408449,57.0970766,53.12621569,10.78212259,56.19251783,3.54113357,29.72582574,1.28056235,11.06046195,0.32671653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
