response,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21
15299.82,14.0,8.0,11.0,15.0,9.0,1.0,4.0,4.0,20.0,11.0,8.0,11.0,15.0,10.0,8.0,6.0,9.0,10.0,20.0,10.0,12.0,0.0
15414.84,4.0,17.0,17.0,15.0,11.0,13.0,1.0,4.0,4.0,20.0,1.0,4.0,11.0,10.0,20.0,19.0,1.0,17.0,16.0,2.0,12.0,0.0
10707.48,8.0,9.0,14.0,6.0,19.0,5.0,14.0,11.0,3.0,7.0,3.0,17.0,8.0,10.0,7.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0
9590.1,15.0,20.0,4.0,7.0,1.0,4.0,3.0,7.0,4.0,13.0,10.0,1.0,17.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10601.6999999999,20.0,1.0,5.0,6.0,11.0,10.0,13.0,2.0,8.0,11.0,16.0,8.0,7.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12374.4,1.0,10.0,13.0,15.0,10.0,10.0,7.0,8.0,9.0,4.0,20.0,11.0,1.0,6.0,1.0,6.0,16.0,8.0,17.0,8.0,12.0,0.0
13307.34,8.0,6.0,11.0,17.0,15.0,1.0,6.0,20.0,19.0,3.0,19.0,19.0,15.0,4.0,11.0,17.0,3.0,1.0,9.0,14.0,12.0,0.0
11271.6,10.0,8.0,15.0,20.0,20.0,1.0,14.0,17.0,9.0,3.0,16.0,17.0,8.0,15.0,14.0,20.0,17.0,6.0,3.0,12.0,0.0,0.0
14930.1,3.0,8.0,15.0,3.0,15.0,17.0,16.0,16.0,11.0,7.0,10.0,10.0,3.0,10.0,4.0,20.0,8.0,17.0,3.0,17.0,11.0,12.0
15352.44,14.0,20.0,7.0,15.0,15.0,17.0,17.0,14.0,16.0,11.0,16.0,4.0,11.0,17.0,10.0,10.0,15.0,2.0,20.0,12.0,0.0,0.0
11496.18,1.0,16.0,4.0,10.0,13.0,9.0,4.0,6.0,8.0,15.0,20.0,3.0,17.0,7.0,4.0,18.0,11.0,17.0,12.0,0.0,0.0,0.0
10744.68,12.0,19.0,7.0,17.0,4.0,5.0,15.0,11.0,3.0,17.0,1.0,20.0,10.0,17.0,15.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0
13028.16,4.0,7.0,16.0,4.0,1.0,10.0,16.0,9.0,10.0,3.0,17.0,6.0,16.0,15.0,19.0,10.0,19.0,14.0,12.0,0.0,0.0,0.0
13957.26,14.0,5.0,6.0,7.0,9.0,4.0,10.0,11.0,20.0,7.0,1.0,19.0,16.0,15.0,11.0,8.0,15.0,11.0,6.0,12.0,0.0,0.0
7748.4,9.0,7.0,10.0,4.0,1.0,17.0,20.0,1.0,6.0,8.0,20.0,7.0,10.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11235.78,20.0,19.0,9.0,10.0,4.0,7.0,16.0,11.0,10.0,4.0,4.0,15.0,6.0,7.0,5.0,1.0,4.0,3.0,19.0,7.0,12.0,0.0
12507.6,3.0,18.0,4.0,16.0,8.0,5.0,20.0,7.0,7.0,17.0,8.0,1.0,20.0,19.0,15.0,14.0,8.0,1.0,4.0,12.0,0.0,0.0
10671.72,10.0,10.0,17.0,9.0,7.0,8.0,11.0,4.0,1.0,1.0,17.0,20.0,1.0,8.0,18.0,16.0,17.0,12.0,0.0,0.0,0.0,0.0
8195.82,15.0,8.0,4.0,9.0,20.0,10.0,1.0,11.0,19.0,17.0,1.0,7.0,5.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5040.87,17.0,1.0,4.0,3.0,3.0,16.0,13.0,15.0,9.0,8.0,1.0,20.0,16.0,16.0,19.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
14671.14,10.0,18.0,5.0,14.0,8.0,15.0,4.0,8.0,3.0,8.0,15.0,3.0,11.0,20.0,10.0,4.0,6.0,17.0,12.0,0.0,0.0,0.0
14309.22,19.0,3.0,11.0,15.0,3.0,8.0,8.0,15.0,1.0,15.0,7.0,16.0,20.0,17.0,3.0,1.0,10.0,18.0,7.0,1.0,16.0,12.0
12546.66,9.0,20.0,20.0,14.0,8.0,7.0,20.0,20.0,4.0,8.0,19.0,4.0,10.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8575.74,4.0,9.0,8.0,7.0,8.0,8.0,10.0,10.0,20.0,8.0,16.0,1.0,11.0,7.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
10921.32,15.0,20.0,16.0,1.0,14.0,9.0,4.0,10.0,15.0,11.0,19.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15406.26,4.0,6.0,20.0,1.0,11.0,2.0,13.0,15.0,7.0,11.0,10.0,15.0,20.0,11.0,16.0,7.0,17.0,13.0,18.0,4.0,17.0,12.0
15297.3599999999,11.0,16.0,4.0,20.0,19.0,4.0,11.0,9.0,14.0,16.0,15.0,1.0,8.0,3.0,19.0,11.0,16.0,17.0,18.0,7.0,2.0,0.0
9383.16,7.0,9.0,18.0,16.0,7.0,17.0,17.0,20.0,1.0,19.0,6.0,11.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12981.54,9.0,5.0,11.0,20.0,3.0,8.0,11.0,4.0,4.0,10.0,8.0,10.0,17.0,11.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
14737.2,20.0,4.0,6.0,5.0,3.0,17.0,13.0,14.0,4.0,14.0,3.0,4.0,15.0,16.0,14.0,4.0,10.0,6.0,8.0,12.0,0.0,0.0
7318.98,16.0,10.0,16.0,16.0,3.0,17.0,9.0,8.0,14.0,4.0,11.0,8.0,1.0,4.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
4211.9940000000015,11.0,17.0,6.0,3.0,6.0,7.0,9.0,17.0,7.0,7.0,3.0,7.0,20.0,4.0,1.0,17.0,1.0,12.0,0.0,0.0,0.0,0.0
15365.88,20.0,14.0,16.0,11.0,4.0,15.0,6.0,19.0,11.0,20.0,4.0,4.0,11.0,2.0,15.0,7.0,14.0,1.0,8.0,19.0,16.0,12.0
12107.039999999899,16.0,9.0,4.0,20.0,20.0,10.0,10.0,8.0,8.0,8.0,15.0,1.0,8.0,19.0,20.0,1.0,1.0,10.0,12.0,0.0,0.0,0.0
11129.58,5.0,11.0,17.0,4.0,4.0,5.0,4.0,17.0,10.0,17.0,1.0,14.0,15.0,15.0,8.0,9.0,20.0,19.0,4.0,16.0,12.0,0.0
14552.46,10.0,16.0,16.0,14.0,7.0,1.0,4.0,3.0,8.0,15.0,1.0,18.0,11.0,6.0,14.0,5.0,7.0,12.0,0.0,0.0,0.0,0.0
14642.28,7.0,15.0,20.0,20.0,8.0,20.0,10.0,19.0,3.0,15.0,9.0,10.0,3.0,11.0,11.0,20.0,16.0,1.0,16.0,12.0,0.0,0.0
14814.3,7.0,19.0,8.0,1.0,4.0,7.0,11.0,14.0,4.0,19.0,9.0,4.0,1.0,4.0,20.0,10.0,7.0,6.0,10.0,12.0,0.0,0.0
9622.86,9.0,14.0,3.0,4.0,14.0,7.0,17.0,15.0,9.0,15.0,20.0,20.0,17.0,10.0,7.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
12619.5,11.0,20.0,8.0,19.0,20.0,16.0,1.0,8.0,17.0,20.0,7.0,19.0,11.0,19.0,16.0,9.0,4.0,4.0,8.0,12.0,0.0,0.0
11000.64,4.0,19.0,5.0,4.0,8.0,14.0,16.0,19.0,8.0,5.0,15.0,15.0,9.0,1.0,8.0,8.0,8.0,10.0,8.0,11.0,7.0,2.0
10014.42,15.0,20.0,16.0,10.0,1.0,16.0,19.0,3.0,9.0,11.0,8.0,3.0,3.0,4.0,8.0,19.0,3.0,11.0,16.0,1.0,15.0,12.0
14874.1199999999,10.0,20.0,4.0,17.0,3.0,8.0,1.0,8.0,4.0,1.0,14.0,1.0,8.0,8.0,14.0,13.0,1.0,8.0,11.0,17.0,12.0,0.0
11333.7,9.0,14.0,3.0,4.0,19.0,4.0,14.0,20.0,16.0,1.0,7.0,3.0,1.0,4.0,4.0,4.0,14.0,12.0,0.0,0.0,0.0,0.0
8081.34,3.0,15.0,17.0,8.0,3.0,17.0,20.0,20.0,13.0,6.0,15.0,6.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8751.06,6.0,15.0,11.0,7.0,16.0,1.0,16.0,3.0,3.0,3.0,8.0,6.0,16.0,11.0,14.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0
15299.82,11.0,3.0,4.0,1.0,7.0,4.0,2.0,20.0,20.0,20.0,5.0,1.0,17.0,10.0,4.0,3.0,11.0,11.0,12.0,0.0,0.0,0.0
6242.7,9.0,8.0,6.0,8.0,18.0,11.0,20.0,1.0,7.0,3.0,7.0,16.0,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15421.38,11.0,15.0,17.0,7.0,4.0,16.0,7.0,13.0,8.0,11.0,20.0,11.0,1.0,16.0,1.0,11.0,14.0,1.0,12.0,0.0,0.0,0.0
15346.32,13.0,8.0,17.0,4.0,19.0,20.0,4.0,11.0,19.0,11.0,11.0,9.0,16.0,15.0,14.0,20.0,16.0,12.0,0.0,0.0,0.0,0.0
15327.96,11.0,17.0,8.0,13.0,1.0,14.0,2.0,20.0,15.0,17.0,20.0,4.0,20.0,16.0,20.0,20.0,4.0,11.0,17.0,20.0,12.0,0.0
12460.26,20.0,11.0,2.0,14.0,20.0,6.0,5.0,8.0,15.0,16.0,3.0,17.0,7.0,5.0,10.0,20.0,17.0,8.0,16.0,18.0,4.0,12.0
13786.14,20.0,8.0,8.0,7.0,14.0,19.0,3.0,19.0,5.0,8.0,15.0,14.0,10.0,4.0,20.0,2.0,4.0,20.0,16.0,12.0,0.0,0.0
4629.6,7.0,17.0,3.0,15.0,9.0,16.0,7.0,11.0,20.0,1.0,17.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13350.24,7.0,16.0,8.0,14.0,8.0,2.0,7.0,8.0,16.0,11.0,19.0,8.0,10.0,7.0,4.0,19.0,17.0,20.0,11.0,12.0,0.0,0.0
12539.5199999999,7.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,7.0,10.0,1.0,7.0,4.0,1.0,1.0,7.0,1.0,7.0,4.0,1.0,8.0,12.0
7975.26,19.0,20.0,17.0,3.0,9.0,3.0,16.0,11.0,8.0,4.0,8.0,3.0,14.0,16.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0
15324.3,7.0,16.0,7.0,14.0,11.0,14.0,3.0,1.0,10.0,9.0,17.0,10.0,15.0,7.0,10.0,8.0,7.0,12.0,0.0,0.0,0.0,0.0
12630.48,19.0,14.0,4.0,19.0,3.0,20.0,14.0,9.0,20.0,15.0,17.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11748.06,10.0,1.0,3.0,15.0,8.0,5.0,19.0,1.0,17.0,8.0,16.0,6.0,11.0,17.0,10.0,16.0,15.0,11.0,17.0,12.0,0.0,0.0
9197.88,8.0,20.0,17.0,20.0,17.0,4.0,7.0,16.0,8.0,1.0,16.0,3.0,20.0,4.0,10.0,15.0,20.0,8.0,12.0,0.0,0.0,0.0
13916.22,7.0,1.0,11.0,7.0,7.0,8.0,10.0,10.0,9.0,16.0,4.0,14.0,1.0,17.0,14.0,7.0,4.0,7.0,7.0,4.0,4.0,12.0
14630.88,14.0,19.0,10.0,6.0,3.0,11.0,9.0,17.0,13.0,4.0,7.0,11.0,3.0,14.0,17.0,8.0,3.0,5.0,11.0,12.0,0.0,0.0
11601.78,11.0,9.0,4.0,1.0,8.0,14.0,19.0,1.0,4.0,20.0,4.0,11.0,17.0,8.0,3.0,17.0,11.0,6.0,12.0,0.0,0.0,0.0
4137.288,6.0,7.0,8.0,5.0,14.0,1.0,20.0,16.0,9.0,8.0,5.0,17.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13098.06,6.0,4.0,8.0,5.0,17.0,10.0,18.0,11.0,17.0,8.0,11.0,16.0,1.0,16.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
14526.66,20.0,17.0,14.0,4.0,10.0,7.0,15.0,19.0,12.0,15.0,10.0,3.0,17.0,16.0,11.0,19.0,11.0,5.0,4.0,3.0,12.0,0.0
15294.9,15.0,1.0,15.0,13.0,10.0,16.0,4.0,4.0,20.0,19.0,3.0,10.0,20.0,13.0,7.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
15302.28,20.0,3.0,11.0,4.0,17.0,4.0,5.0,6.0,19.0,1.0,19.0,11.0,17.0,8.0,10.0,2.0,4.0,19.0,20.0,11.0,3.0,12.0
11384.1,11.0,11.0,3.0,3.0,2.0,13.0,8.0,16.0,19.0,4.0,5.0,17.0,8.0,20.0,3.0,7.0,11.0,1.0,15.0,10.0,15.0,12.0
7228.5,17.0,9.0,16.0,17.0,19.0,1.0,14.0,7.0,16.0,3.0,17.0,3.0,16.0,20.0,1.0,1.0,16.0,6.0,13.0,2.0,0.0,0.0
12099.0,11.0,7.0,14.0,17.0,15.0,8.0,13.0,1.0,7.0,4.0,1.0,20.0,8.0,4.0,16.0,1.0,15.0,11.0,16.0,9.0,1.0,12.0
6282.36,17.0,20.0,7.0,7.0,4.0,9.0,15.0,10.0,15.0,7.0,4.0,20.0,9.0,7.0,3.0,19.0,7.0,3.0,12.0,0.0,0.0,0.0
12620.7,18.0,11.0,2.0,6.0,19.0,15.0,16.0,17.0,7.0,7.0,4.0,18.0,7.0,7.0,14.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
4862.37,9.0,1.0,6.0,8.0,3.0,14.0,17.0,17.0,8.0,10.0,4.0,8.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10452.3,17.0,17.0,17.0,4.0,9.0,10.0,16.0,13.0,1.0,8.0,15.0,18.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11314.8,13.0,17.0,10.0,19.0,6.0,4.0,5.0,13.0,3.0,17.0,14.0,3.0,7.0,16.0,15.0,20.0,3.0,16.0,12.0,0.0,0.0,0.0
13922.76,20.0,6.0,16.0,8.0,16.0,11.0,3.0,3.0,8.0,4.0,20.0,1.0,18.0,14.0,11.0,3.0,8.0,12.0,0.0,0.0,0.0,0.0
10884.06,1.0,11.0,1.0,1.0,3.0,7.0,17.0,1.0,2.0,14.0,3.0,6.0,20.0,11.0,17.0,3.0,6.0,4.0,14.0,6.0,12.0,0.0
13273.2,17.0,16.0,6.0,4.0,10.0,7.0,11.0,14.0,6.0,16.0,19.0,15.0,17.0,14.0,7.0,6.0,16.0,3.0,17.0,3.0,16.0,12.0
13742.76,6.0,11.0,18.0,4.0,1.0,8.0,10.0,7.0,1.0,7.0,19.0,20.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5295.666,20.0,11.0,2.0,16.0,3.0,8.0,16.0,8.0,17.0,13.0,16.0,4.0,20.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9663.36,14.0,20.0,5.0,8.0,15.0,7.0,1.0,16.0,17.0,17.0,1.0,11.0,20.0,7.0,15.0,3.0,7.0,4.0,12.0,0.0,0.0,0.0
5284.031999999998,4.0,17.0,16.0,16.0,8.0,8.0,20.0,17.0,9.0,1.0,3.0,7.0,6.0,11.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
